2020-10-28,י מרחשון,תשפ''א, 9:21, 9:57,10:46
2020-10-29,יא מרחשון,תשפ''א, 9:22, 9:58,10:47
2020-10-30,יב מרחשון,תשפ''א, 9:22, 9:58,10:47
2020-10-31,יג מרחשון,תשפ''א, 9:23, 9:59,10:48
2020-11-01,יד מרחשון,תשפ''א, 9:24,10:00,10:48
2020-11-02,טו מרחשון,תשפ''א, 9:25,10:01,10:49
2020-11-03,טז מרחשון,תשפ''א, 9:26,10:02,10:50
2020-11-04,יז מרחשון,תשפ''א, 9:27,10:03,10:50
2020-11-05,יח מרחשון,תשפ''א, 9:28,10:04,10:51
2020-11-06,יט מרחשון,תשפ''א, 9:29,10:05,10:51
2020-11-07,כ מרחשון,תשפ''א, 9:29,10:05,10:52
2020-11-08,כא מרחשון,תשפ''א, 9:30,10:06,10:53
2020-11-09,כב מרחשון,תשפ''א, 9:31,10:07,10:53
2020-11-10,כג מרחשון,תשפ''א, 9:32,10:08,10:54
2020-11-11,כד מרחשון,תשפ''א, 9:33,10:09,10:55
2020-11-12,כה מרחשון,תשפ''א, 9:34,10:10,10:55
2020-11-13,כו מרחשון,תשפ''א, 9:35,10:11,10:56
2020-11-14,כז מרחשון,תשפ''א, 9:36,10:12,10:57
2020-11-15,כח מרחשון,תשפ''א, 9:37,10:13,10:57
2020-11-16,כט מרחשון,תשפ''א, 9:38,10:14,10:58
2020-11-17,א כסלו,תשפ''א, 9:39,10:15,10:59
2020-11-18,ב כסלו,תשפ''א, 9:40,10:16,10:59
2020-11-19,ג כסלו,תשפ''א, 9:41,10:17,11:00
2020-11-20,ד כסלו,תשפ''א, 9:42,10:18,11:01
2020-11-21,ה כסלו,תשפ''א, 9:42,10:18,11:01
2020-11-22,ו כסלו,תשפ''א, 9:43,10:19,11:02
2020-11-23,ז כסלו,תשפ''א, 9:44,10:20,11:03
2020-11-24,ח כסלו,תשפ''א, 9:45,10:21,11:04
2020-11-25,ט כסלו,תשפ''א, 9:46,10:22,11:04
2020-11-26,י כסלו,תשפ''א, 9:47,10:23,11:05
2020-11-27,יא כסלו,תשפ''א, 9:48,10:24,11:06
2020-11-28,יב כסלו,תשפ''א, 9:49,10:25,11:07
